Registration Type,Corporation Name,Trade Name,Business Address,Business Address2,City,State,Zip,Phone Number,# ASE Certified Mechanics,Tow Storage Address ,Tow Storage 2,Tow Storage City,Tow Storage State,Tow Storage Zip,Tow Storage Phone,Issue Date,Expiration,Registration No.,Location
Corporation,MG Auto & Truck Repair Services LLC,MG Auto & Truck Repair Services LLC,8146 Beechcraft Ave.,8146,Gaithersburg,MD,20879,(301) 848-1294,0,,,,,,,12/11/2024,12/11/2025,19-MT-002754,"8146 Beechcraft Ave.
Gaithersburg, MD 20879
(39.1652, -77.1659)"
Corporation,"E & S Towing Services, Inc.",E & S Towing Service,15814 Paramount Dr,,Rockville,MD,20855,(240) 304-9367,0,15814 Paramount Dr,,Rockville,MD,20906,(240) 304-9367,12/02/2024,12/02/2025,20-MT-005316,"15814 Paramount Dr
Rockville, MD 20855
(39.11649, -77.16269)"
Corporation,"Mohamed M. Kheiry, LLC",Satellite Motors,8109 Mayor Lane,,Silver Spring,MD,20910,(301) 585-7876,0,,,,,,,12/22/2024,12/22/2027,17-MT-001433,"8109 Mayor Lane
Silver Spring, MD 20910
(38.99107, -77.02584)"
Corporation,"Kasparian, Inc.",Kelley's Auto Body,10644 Connecticut Ave,,Kensington,MD,20895,(301) 946-0051,0,,,,,,,01/26/2025,01/26/2028,16-MT-000371,"10644 Connecticut Ave
Kensington, MD 20895
(39.03091, -77.07596)"
Corporation,"Dustin, Inc.",Burnt Mills BP Servicenter,10711 Columbia Pike,,Silver Spring,MD,20901,(301) 593-1036,0,,,,,,,12/04/2024,12/04/2027,15-MT-000436,"10711 Columbia Pike
Silver Spring, MD 20901
(39.03093, -77.00477)"
Corporation,"Lee's Car Care, Inc",Lee's Auto Care,2204 University Boulevard W,,Wheaton,MD,20902,(301) 949-8004,0,,,,,,,12/22/2024,12/22/2027,20-MT-006458,"2204 University Boulevard W
Wheaton, MD 20902
(39.04113, -77.04885)"
Corporation,"Fenton Street Service Station, Inc.",Fenton Exxon,8301 Fenton Street,,Silver Spring,MD,20910,(301) 587-1987,0,,,,,,,12/12/2024,12/12/2027,20-MT-006406,"8301 Fenton Street
Silver Spring, MD 20910
(38.99354, -77.02409)"
Corporation,Drive Through Tire LLC,Drive Thru Tire,19550 Frederick Road,B,Germantown,MD,20876,(240) 477-8799,0,,,,,,,08/28/2023,08/28/2026,22-MT-013256,"19550 Frederick Road
Germantown, MD 20876
(39.176166984, -77.239015977)"
Corporation,Euro Motorcars Bethesda LLC,Euro Motorcars Bethesda,7020 Arlington Rd,,Bethesda,MD,20814,(301) 986-8800,0,,,,,,,12/19/2024,12/19/2027,19-MT-002854,"7020 Arlington Rd
Bethesda, MD 20814
(38.98053, -77.0984)"
Corporation,SJ DENT REMOVAL LLC,SJ DENT REMOVAL,12870 Sage Terrace,,Germantown,MD,20874,(240) 755-5346,0,,,,,,,07/24/2023,07/24/2024,23-MT-013674,"12870 Sage Terrace
Germantown, MD 20874
(39.161175992, -77.266755969)"
Corporation,Walters Mobile Auto Repair LLC,Walters Mobile Auto Repair LLC,8437 Sandalwood Court,,Jessup,MD,20794,(240) 694-6462,0,,,,,,,07/29/2022,07/29/2025,21-MT-009733,"8437 Sandalwood Court
Jessup, MD 20794
(39.153565014, -76.798922977)"
Sole Proprietorship,,TEST - Mufflers R Us,PO Box 3600,,Rockville MD,Md,28050,(111) 222-3333,0,,,,,,,08/01/1920,08/01/1921,23-MT-013660,"PO Box 3600
Rockville MD, Md 28050
(39.08196, -77.15118)"
Sole Proprietorship,,Test - Broken Motor Club,100 Maryland Ave.,,Rockville,Maryland,20850,(240) 777-3636,1,,,,,,,08/01/1920,08/01/1920,23-MT-013665,"100 Maryland Ave.
Rockville, Maryland 20850
(39.082045001, -77.150755961)"
Corporation,Mobile Pro Auto Service LLC,Mobile Pro Auto Service LLC,18310 Montgomery Village Ave,Ste 300,Gaithersburg,MD,20879,(301) 305-0593,1,,,,,,,12/02/2024,12/02/2025,24-MT-014266,"18310 Montgomery Village Ave
Gaithersburg, MD 20879
(39.15703, -77.20708)"
Corporation,"Wank, Inc.",QuickNLube,18824 Woodfield Road,,Gaithersburg,MD,20879,(240) 912-6102,0,,,,,,,07/25/2023,07/25/2026,20-MT-004144,"18824 Woodfield Road
Gaithersburg, MD 20879
(39.164805985, -77.157491994)"
Corporation,Dean's Auto Repair LLC,Scott's Automotive,11808 Coakley Cir,,Rockville,MD,20852,(301) 881-9429,0,,,,,,,12/11/2024,12/11/2027,20-MT-006395,"11808 Coakley Cir
Rockville, MD 20852
(39.04939, -77.10392)"
Corporation,JSK Auto Repair Shop LLC,JSK Auto Repair Shop LLC,12395 Quail Woods Drive,,Germantown,MD,20874,(240) 483-2474,1,,,,,,,12/19/2024,12/19/2025,24-MT-014291,"12395 Quail Woods Drive
Germantown, MD 20874
(39.17401, -77.25491)"
Sole Proprietorship,,Quality Auto Care & Body Shop,8537 Piney Branch Road,,Silver Spring,MD,20814,(301) 585-8887,0,,,,,,,07/25/2023,07/25/2026,16-MT-001557,"8537 Piney Branch Road
Silver Spring, MD 20814
(38.997992994, -77.00163897)"
Corporation,"Mullens Services, LLC",Big Tow,375 Derwood Circle,G,Rockville,MD,20850,(301) 424-4869,0,375 Derwood Circle,G,Rockville,MD,20850,(301) 424-4869,08/26/2023,08/26/2026,17-MT-001466,"375 Derwood Circle
Rockville, MD 20850
(39.105800991, -77.155030983)"
Corporation,"SB Automotive, LLC",SB Automotive,8041 Queenair Drive,8,Gaithersburg,MD,20879,(301) 907-1010,1,,,,,,,01/26/2025,01/26/2028,19-MT-002831,"8041 Queenair Drive
Gaithersburg, MD 20879
(39.17158, -77.16385)"
Corporation,"L & T Group, Inc.",Bradley Boulevard Liberty,5001 Bradley Boulevard,,Chevy Chase,MD,20815,(301) 654-8543,0,,,,,,,09/05/2023,09/05/2026,17-MT-001406,"5001 Bradley Boulevard
Chevy Chase, MD 20815
(38.978923996, -77.099271965)"
Corporation,"Nina & Nareg, Inc.",D & D Auto Body,15207 Frederick Road,,Rockville,MD,20850,(301) 340-0678,0,,,,,,,09/09/2023,09/09/2026,17-MT-001000,"15207 Frederick Road
Rockville, MD 20850
(39.10597701, -77.156830997)"
Corporation,Silver Spring Towing and Recovery LLC,Silver Spring Towing and Recovery,14514 Southlawn Lane,,Rockville,MD,20850,(301) 589-7878,0,14514 Southlawn Lane,,Rockville,MD,20850,(301) 589-7878,08/17/2023,08/17/2026,22-MT-013245,"14514 Southlawn Lane
Rockville, MD 20850
(39.094460079, -77.141348533)"
